country,education_index,rank_happiness,happiness_score,gdp_per_capita_log,social_support,healthy_life_exp,freedom_choices,generosity,corruption_perception,literacy_rate_pct,gov_expenditure_edu_pct_gdp,school_enrollment_secondary_pct,school_enrollment_tertiary_pct,tertiary_attainment_pct,gini_coefficient,pisa_score_avg
South Sudan,0.307,,,,,,,,,,1.56539228959694,11.5348100662231,,,,
Spain,0.831,38.0,6.466,1.69,1.685,0.894,0.734,0.112,0.18,,4.58553981781006,118.361709594727,93.7303466796875,33.5,34.3,477.3
Sri Lanka,0.746,133.0,3.891,1.271,1.308,0.567,0.696,0.121,0.025,,1.82774571561927,87.9534065332114,20.7412633848006,3.28,37.7,
Sudan,0.345,,,,,,,,,,,43.5378608703613,15.8645696640015,,34.2,
Suriname,0.675,,,,,,,,,,2.86623341491363,76.1109237670898,4.93785087797966,8.07,,
Swaziland,,137.0,3.774,1.183,1.152,0.038,0.428,0.054,0.13,,5.00431592836751,82.023935767308,6.43545771863543,13.0,,
Sweden,0.918,4.0,7.345,1.783,1.698,0.889,0.952,0.17,0.467,,7.31909990310669,134.244293212891,81.3998184204102,,29.3,487.7
Switzerland,0.9,13.0,6.935,1.87,1.622,0.883,0.889,0.156,0.468,,4.86427021026611,102.965591430664,74.0060882568359,41.5,33.1,498.0
Syria,0.416,,,,,,,,,,,39.4672088623047,43.7606582641602,10.47,,
São Tomé and Príncipe,0.567,,,,,,,,,,5.0288576428727,90.4435729980469,12.8210802078247,3.16,56.3,
Taiwan,,27.0,6.669,1.73,1.583,0.817,0.76,0.057,0.187,,,,,,33.6,533.0
Tajikistan,0.682,90.0,5.411,0.914,1.555,0.658,,0.085,0.342,,5.43682120015444,88.4022015902249,34.9689625947729,8.45,34.0,
Tanzania,,136.0,3.8,0.847,0.908,0.411,0.858,0.153,0.243,,3.25853222146531,28.231330871582,5.16887784940301,5.37,37.8,
Thailand,0.682,49.0,6.222,1.426,1.551,0.633,0.927,0.223,0.039,,2.52122219628772,93.3356315272258,45.4407811172674,16.4,36.4,394.0
Togo,0.517,127.0,4.315,0.757,0.736,0.378,0.576,0.097,0.153,,4.14281885166484,63.4192515229188,14.9029897765252,,43.1,
Tonga,0.775,,,,,,,,,,5.31016278046634,91.8606656320055,42.8611738148984,,,
Trinidad and Tobago,0.728,70.0,5.905,1.549,1.532,0.419,0.76,0.111,0.001,,3.23358011245727,92.9377899169922,,,,
Tunisia,0.661,113.0,4.552,1.257,1.224,0.459,0.382,0.032,0.05,,6.73398856321206,90.3264236450195,38.1219482421875,9.3,32.8,
Turkey,0.731,94.0,5.262,1.582,1.444,0.626,0.244,0.04,0.104,,3.09571003913879,118.411979675293,105.88606262207,20.88,41.9,465.3
Turkmenistan,0.653,,,,,,,,,,2.71291995048523,102.546752929688,18.8084201812744,9.59,,
Turks and Caicos Islands,,,,,,,,,,,2.68765461969981,109.841759938248,25.2537080405933,,,
Tuvalu,,,,,,,,,,,12.8456897735596,93.2753164556962,19.3509615384615,16.17,,
Uganda,0.523,116.0,4.461,0.762,1.342,0.396,0.751,0.148,0.05,,2.56105027176925,,4.61899995803833,5.67,42.7,
Ukraine,0.799,111.0,4.68,1.328,1.472,0.472,0.689,0.245,0.023,,5.14010000228882,87.0823822021484,82.5533599853516,26.33,26.6,435.3
United Arab Emirates,0.802,21.0,6.759,1.812,1.294,0.659,0.934,0.165,0.235,,3.89404010772705,101.944972436447,61.3456114422447,39.8,,
United Kingdom,0.948,23.0,6.728,1.725,1.562,0.779,0.872,0.211,0.318,,5.90681982040405,112.120048522949,80.4146499633789,36.84,35.1,494.3
United States,0.9,24.0,6.724,1.839,1.614,0.604,0.644,0.171,0.161,,5.42038011550903,97.4734878540039,79.361930847168,43.06,39.8,489.3
Uruguay,0.765,28.0,6.661,1.554,1.654,0.523,0.913,0.078,0.197,,4.76461982727051,119.105005958635,79.9536903496537,25.0,40.2,430.0
Uzbekistan,0.729,53.0,6.193,1.179,1.615,0.654,0.977,0.195,0.208,,5.47287597270024,97.3839945834102,45.7591768686293,,28.2,352.7
Vanuatu,0.561,,,,,,,,,,7.58135986328125,134.670675170038,,1.94,,
Venezuela,,82.0,5.683,0.0,1.493,0.515,0.702,0.154,0.117,,,97.229606628418,,24.86,44.8,
Vietnam,0.63,46.0,6.352,1.278,1.533,0.631,1.012,0.039,0.174,,2.88738689372749,93.4123434096522,32.8415128147815,12.6,36.1,469.7
